timestamp,open,high,low,close,volume,quote_volume,symbol,exchange,interval
2025-11-04 06:50:00+00:00,155652000.0,155740000.0,155650000.0,155740000.0,6.12352145,953278655.06249,BTC-KRW,upbit,1m
2025-11-04 06:51:00+00:00,155740000.0,155785000.0,155700000.0,155770000.0,6.09512359,949324929.56351,BTC-KRW,upbit,1m
2025-11-04 06:52:00+00:00,155770000.0,155770000.0,155700000.0,155767000.0,3.74917788,583920995.37504,BTC-KRW,upbit,1m
2025-11-04 06:53:00+00:00,155767000.0,155768000.0,155743000.0,155767000.0,1.23419976,192246586.07742,BTC-KRW,upbit,1m
2025-11-04 06:54:00+00:00,155768000.0,155768000.0,155705000.0,155763000.0,2.30812255,359484643.77967,BTC-KRW,upbit,1m
2025-11-04 06:55:00+00:00,155763000.0,155763000.0,155700000.0,155705000.0,1.13225806,176303901.153,BTC-KRW,upbit,1m
2025-11-04 06:56:00+00:00,155705000.0,155705000.0,155650000.0,155700000.0,2.95810011,460554937.01396,BTC-KRW,upbit,1m
2025-11-04 06:57:00+00:00,155700000.0,155700000.0,155663000.0,155698000.0,1.88024103,292745599.61452,BTC-KRW,upbit,1m
2025-11-04 06:58:00+00:00,155698000.0,155698000.0,155696000.0,155698000.0,1.3242438,206181312.9116,BTC-KRW,upbit,1m
2025-11-04 06:59:00+00:00,155697000.0,155850000.0,155697000.0,155850000.0,8.04780198,1253365018.29508,BTC-KRW,upbit,1m
2025-11-04 07:00:00+00:00,155850000.0,155850000.0,155813000.0,155820000.0,2.02939051,316225545.37191,BTC-KRW,upbit,1m
2025-11-04 07:01:00+00:00,155820000.0,156100000.0,155820000.0,156100000.0,6.37229046,993750578.70276,BTC-KRW,upbit,1m
2025-11-04 07:02:00+00:00,156091000.0,156224000.0,156072000.0,156089000.0,5.54729857,866090500.99906,BTC-KRW,upbit,1m
2025-11-04 07:03:00+00:00,156073000.0,156090000.0,155789000.0,155890000.0,4.67523459,729048429.84888,BTC-KRW,upbit,1m
2025-11-04 07:04:00+00:00,155890000.0,155891000.0,155800000.0,155891000.0,2.99083702,466237859.00385,BTC-KRW,upbit,1m
2025-11-04 07:05:00+00:00,155890000.0,155890000.0,155704000.0,155777000.0,2.54718181,396870807.15131,BTC-KRW,upbit,1m
2025-11-04 07:06:00+00:00,155777000.0,155890000.0,155774000.0,155887000.0,2.38252089,371232992.02338,BTC-KRW,upbit,1m
2025-11-04 07:07:00+00:00,155887000.0,155890000.0,155774000.0,155859000.0,3.26694243,509071129.23722,BTC-KRW,upbit,1m
2025-11-04 07:08:00+00:00,155859000.0,155860000.0,155850000.0,155857000.0,1.76755853,275485343.47535,BTC-KRW,upbit,1m
