ts,equity,cash,positions_value,unrealized_pnl
2025-10-10T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-10T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-11T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-12T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-13T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-14T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-15T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-16T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-17T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-18T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-19T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-20T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-21T00:00:00,1000000.0,1000000,0.0,0.0
