btc_equity,sol_equity,portfolio_equity,btc_exposure,sol_exposure
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,2000000.0,10000000.0,0.0,0.0
8000000.0,1999880.0,9999880.0,0.0,10.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
8000000.0,2002819.0970661568,10002819.097066157,0.0,0.0
7996100.0,2002819.0970661568,9998919.097066157,81.25,0.0
8012563.518286516,2002819.0970661568,10015382.615352673,81.25,0.0
